Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Mainland India,Mainland India,IN,641.06,696.29,14.49,10.49,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Mainland India,Mainland India,IN,636.72,691.81,15.04,10.93,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,Mainland India,Mainland India,IN,604.44,659.09,19.34,15.48,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,Mainland India,Mainland India,IN,561.57,615.57,25.08,21.63,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Mainland India,Mainland India,IN,556.38,610.45,25.78,22.58,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Mainland India,Mainland India,IN,554.58,608.68,26.03,22.91,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Mainland India,Mainland India,IN,551.3,605.33,26.47,23.28,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Mainland India,Mainland India,IN,548.22,602.17,26.87,23.62,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Mainland India,Mainland India,IN,547.36,601.3,26.98,23.66,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Mainland India,Mainland India,IN,551.45,605.47,26.43,23.1,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Mainland India,Mainland India,IN,556.9,611.0,25.7,22.29,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Mainland India,Mainland India,IN,571.73,626.07,23.69,20.11,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Mainland India,Mainland India,IN,628.8,684.12,16.02,11.99,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Mainland India,Mainland India,IN,646.24,701.8,13.74,9.7,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,Mainland India,Mainland India,IN,644.76,700.2,13.93,9.84,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,Mainland India,Mainland India,IN,643.08,698.4,14.15,9.98,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,Mainland India,Mainland India,IN,641.25,696.52,14.37,10.19,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,Mainland India,Mainland India,IN,639.76,694.94,14.55,10.32,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,Mainland India,Mainland India,IN,637.8,692.89,14.83,10.74,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,Mainland India,Mainland India,IN,635.7,690.65,15.12,10.87,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,Mainland India,Mainland India,IN,634.31,689.04,15.35,10.95,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,Mainland India,Mainland India,IN,633.96,688.53,15.45,10.95,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,Mainland India,Mainland India,IN,634.27,688.83,15.43,10.95,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,Mainland India,Mainland India,IN,633.99,688.55,15.48,11.04,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,Mainland India,Mainland India,IN,634.49,689.32,15.38,11.2,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,Mainland India,Mainland India,IN,635.63,690.64,15.2,11.14,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,Mainland India,Mainland India,IN,603.24,657.83,19.52,15.74,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,Mainland India,Mainland India,IN,559.76,613.74,25.34,21.98,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,Mainland India,Mainland India,IN,552.11,606.06,26.37,23.22,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,Mainland India,Mainland India,IN,550.56,604.57,26.59,23.51,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,Mainland India,Mainland India,IN,549.19,603.2,26.77,23.66,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,Mainland India,Mainland India,IN,547.39,601.38,27.01,23.85,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,Mainland India,Mainland India,IN,546.66,600.64,27.1,23.87,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,Mainland India,Mainland India,IN,551.0,605.08,26.52,23.29,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,Mainland India,Mainland India,IN,556.19,610.34,25.82,22.5,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 11:00:00,Mainland India,Mainland India,IN,570.63,624.97,23.87,20.38,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 12:00:00,Mainland India,Mainland India,IN,629.01,684.35,16.02,12.09,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 13:00:00,Mainland India,Mainland India,IN,648.14,703.76,13.51,9.56,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 14:00:00,Mainland India,Mainland India,IN,646.87,702.4,13.67,9.66,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 15:00:00,Mainland India,Mainland India,IN,645.51,700.94,13.85,9.74,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 16:00:00,Mainland India,Mainland India,IN,643.84,699.26,14.04,9.9,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 17:00:00,Mainland India,Mainland India,IN,641.72,697.01,14.31,10.11,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 18:00:00,Mainland India,Mainland India,IN,638.88,694.02,14.7,10.9,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 19:00:00,Mainland India,Mainland India,IN,637.82,692.89,14.84,10.91,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 20:00:00,Mainland India,Mainland India,IN,637.78,692.74,14.89,10.83,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 21:00:00,Mainland India,Mainland India,IN,637.8,692.64,14.94,10.78,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 22:00:00,Mainland India,Mainland India,IN,639.01,693.91,14.79,10.68,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 23:00:00,Mainland India,Mainland India,IN,639.89,694.85,14.68,10.66,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 00:00:00,Mainland India,Mainland India,IN,640.26,695.46,14.61,10.8,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 01:00:00,Mainland India,Mainland India,IN,641.54,696.93,14.42,10.73,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 02:00:00,Mainland India,Mainland India,IN,609.84,664.77,18.64,15.16,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 03:00:00,Mainland India,Mainland India,IN,566.5,620.77,24.44,21.32,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 04:00:00,Mainland India,Mainland India,IN,560.47,614.76,25.25,22.35,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 05:00:00,Mainland India,Mainland India,IN,556.61,610.85,25.78,22.92,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 06:00:00,Mainland India,Mainland India,IN,554.39,608.61,26.07,23.16,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 07:00:00,Mainland India,Mainland India,IN,552.77,606.97,26.28,23.33,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 08:00:00,Mainland India,Mainland India,IN,553.04,607.27,26.24,23.25,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 09:00:00,Mainland India,Mainland India,IN,557.76,612.09,25.61,22.63,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 10:00:00,Mainland India,Mainland India,IN,563.48,617.91,24.83,21.79,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 11:00:00,Mainland India,Mainland India,IN,577.67,632.31,22.92,19.73,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 12:00:00,Mainland India,Mainland India,IN,633.69,689.34,15.39,11.82,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 13:00:00,Mainland India,Mainland India,IN,651.98,707.87,12.99,9.4,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 14:00:00,Mainland India,Mainland India,IN,650.6,706.4,13.17,9.51,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 15:00:00,Mainland India,Mainland India,IN,649.53,705.23,13.31,9.58,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 16:00:00,Mainland India,Mainland India,IN,647.54,703.2,13.55,9.77,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 17:00:00,Mainland India,Mainland India,IN,646.37,701.97,13.69,9.87,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 18:00:00,Mainland India,Mainland India,IN,644.14,700.29,14.11,10.42,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 19:00:00,Mainland India,Mainland India,IN,643.76,699.85,14.16,10.37,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 20:00:00,Mainland India,Mainland India,IN,644.35,700.32,14.13,10.24,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 21:00:00,Mainland India,Mainland India,IN,644.45,700.28,14.16,10.17,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 22:00:00,Mainland India,Mainland India,IN,644.19,699.98,14.21,10.2,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 23:00:00,Mainland India,Mainland India,IN,643.12,698.86,14.36,10.39,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 00:00:00,Mainland India,Mainland India,IN,642.37,698.37,14.44,10.68,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 01:00:00,Mainland India,Mainland India,IN,643.92,700.07,14.21,10.6,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 02:00:00,Mainland India,Mainland India,IN,614.15,669.85,18.17,14.79,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 03:00:00,Mainland India,Mainland India,IN,572.47,627.51,23.75,20.73,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 04:00:00,Mainland India,Mainland India,IN,562.89,617.82,25.03,22.16,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 05:00:00,Mainland India,Mainland India,IN,560.8,615.71,25.32,22.52,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 06:00:00,Mainland India,Mainland India,IN,560.63,615.52,25.34,22.52,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 07:00:00,Mainland India,Mainland India,IN,557.82,612.65,25.71,22.82,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 08:00:00,Mainland India,Mainland India,IN,558.54,613.42,25.61,22.68,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 09:00:00,Mainland India,Mainland India,IN,563.36,618.36,24.96,22.05,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 10:00:00,Mainland India,Mainland India,IN,569.14,624.23,24.19,21.21,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 11:00:00,Mainland India,Mainland India,IN,583.01,638.3,22.32,19.2,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 12:00:00,Mainland India,Mainland India,IN,637.57,693.92,14.99,11.51,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 13:00:00,Mainland India,Mainland India,IN,656.41,713.06,12.52,9.01,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 14:00:00,Mainland India,Mainland India,IN,655.53,712.11,12.63,9.06,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 15:00:00,Mainland India,Mainland India,IN,654.19,710.67,12.81,9.15,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 16:00:00,Mainland India,Mainland India,IN,652.24,708.73,13.04,9.33,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 17:00:00,Mainland India,Mainland India,IN,652.35,708.86,13.02,9.3,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 18:00:00,Mainland India,Mainland India,IN,651.82,707.75,13.04,9.37,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 19:00:00,Mainland India,Mainland India,IN,650.75,706.61,13.18,9.37,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 20:00:00,Mainland India,Mainland India,IN,651.27,707.04,13.16,9.25,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 21:00:00,Mainland India,Mainland India,IN,651.21,706.86,13.22,9.2,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 22:00:00,Mainland India,Mainland India,IN,651.6,707.26,13.19,9.18,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 23:00:00,Mainland India,Mainland India,IN,652.41,708.12,13.09,9.18,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 00:00:00,Mainland India,Mainland India,IN,652.38,708.29,13.07,9.4,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 01:00:00,Mainland India,Mainland India,IN,652.49,708.51,13.04,9.47,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 02:00:00,Mainland India,Mainland India,IN,621.4,676.93,17.17,13.82,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 03:00:00,Mainland India,Mainland India,IN,579.12,634.02,22.83,19.85,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 04:00:00,Mainland India,Mainland India,IN,570.72,625.53,23.96,21.14,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 05:00:00,Mainland India,Mainland India,IN,566.8,621.57,24.48,21.71,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 06:00:00,Mainland India,Mainland India,IN,566.9,621.73,24.48,21.69,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 07:00:00,Mainland India,Mainland India,IN,564.13,618.88,24.84,22.0,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 08:00:00,Mainland India,Mainland India,IN,563.12,617.84,24.97,22.07,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 09:00:00,Mainland India,Mainland India,IN,566.73,621.5,24.48,21.59,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 10:00:00,Mainland India,Mainland India,IN,572.69,627.55,23.68,20.74,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 11:00:00,Mainland India,Mainland India,IN,586.06,641.12,21.88,18.8,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 12:00:00,Mainland India,Mainland India,IN,640.27,696.29,14.6,11.16,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 13:00:00,Mainland India,Mainland India,IN,658.79,715.02,12.17,8.66,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 14:00:00,Mainland India,Mainland India,IN,656.72,712.82,12.43,8.84,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 15:00:00,Mainland India,Mainland India,IN,654.64,710.59,12.7,9.01,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 16:00:00,Mainland India,Mainland India,IN,652.35,708.24,12.98,9.24,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 17:00:00,Mainland India,Mainland India,IN,650.94,706.75,13.15,9.38,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 18:00:00,Mainland India,Mainland India,IN,650.34,706.19,13.23,9.82,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 19:00:00,Mainland India,Mainland India,IN,650.16,705.98,13.26,9.77,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 20:00:00,Mainland India,Mainland India,IN,650.09,705.79,13.31,9.71,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 21:00:00,Mainland India,Mainland India,IN,649.77,705.33,13.41,9.7,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 22:00:00,Mainland India,Mainland India,IN,649.91,705.46,13.41,9.71,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-05 23:00:00,Mainland India,Mainland India,IN,650.73,706.34,13.31,9.69,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 00:00:00,Mainland India,Mainland India,IN,649.93,705.71,13.39,9.95,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 01:00:00,Mainland India,Mainland India,IN,649.33,705.17,13.44,10.08,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 02:00:00,Mainland India,Mainland India,IN,618.21,673.59,17.59,14.43,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 03:00:00,Mainland India,Mainland India,IN,574.05,628.75,23.49,20.68,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 04:00:00,Mainland India,Mainland India,IN,564.9,619.5,24.72,22.06,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 05:00:00,Mainland India,Mainland India,IN,560.91,615.46,25.26,22.63,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 06:00:00,Mainland India,Mainland India,IN,561.0,615.59,25.25,22.62,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 07:00:00,Mainland India,Mainland India,IN,558.42,612.94,25.59,22.92,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 08:00:00,Mainland India,Mainland India,IN,556.77,611.24,25.8,23.07,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 09:00:00,Mainland India,Mainland India,IN,560.93,615.47,25.25,22.52,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 10:00:00,Mainland India,Mainland India,IN,567.71,622.38,24.34,21.58,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 11:00:00,Mainland India,Mainland India,IN,580.76,635.6,22.58,19.67,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 12:00:00,Mainland India,Mainland India,IN,635.68,691.5,15.2,11.96,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 13:00:00,Mainland India,Mainland India,IN,656.61,712.72,12.45,9.18,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 14:00:00,Mainland India,Mainland India,IN,655.45,711.48,12.59,9.28,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 15:00:00,Mainland India,Mainland India,IN,653.52,709.41,12.84,9.43,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 16:00:00,Mainland India,Mainland India,IN,651.29,707.13,13.11,9.65,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 17:00:00,Mainland India,Mainland India,IN,650.74,706.55,13.17,9.7,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 18:00:00,Mainland India,Mainland India,IN,648.75,704.38,13.49,10.33,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 19:00:00,Mainland India,Mainland India,IN,648.72,704.34,13.5,10.26,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 20:00:00,Mainland India,Mainland India,IN,648.9,704.41,13.52,10.17,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 21:00:00,Mainland India,Mainland India,IN,649.04,704.44,13.55,10.12,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 22:00:00,Mainland India,Mainland India,IN,649.44,704.85,13.52,10.08,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-06 23:00:00,Mainland India,Mainland India,IN,650.94,706.45,13.33,9.96,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 00:00:00,Mainland India,Mainland India,IN,650.95,706.69,13.3,10.12,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 01:00:00,Mainland India,Mainland India,IN,650.39,706.2,13.35,10.22,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 02:00:00,Mainland India,Mainland India,IN,619.43,674.81,17.47,14.55,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 03:00:00,Mainland India,Mainland India,IN,574.94,629.64,23.42,20.83,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 04:00:00,Mainland India,Mainland India,IN,566.35,620.98,24.57,22.14,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 05:00:00,Mainland India,Mainland India,IN,562.9,617.49,25.04,22.65,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 06:00:00,Mainland India,Mainland India,IN,567.21,621.99,24.48,22.14,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 07:00:00,Mainland India,Mainland India,IN,564.92,619.65,24.78,22.4,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 08:00:00,Mainland India,Mainland India,IN,564.02,618.74,24.89,22.46,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 09:00:00,Mainland India,Mainland India,IN,567.47,622.25,24.43,22.0,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 10:00:00,Mainland India,Mainland India,IN,573.42,628.3,23.63,21.16,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 11:00:00,Mainland India,Mainland India,IN,586.28,641.35,21.89,19.29,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 12:00:00,Mainland India,Mainland India,IN,640.02,696.03,14.68,11.78,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 13:00:00,Mainland India,Mainland India,IN,660.97,717.24,11.93,8.98,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 14:00:00,Mainland India,Mainland India,IN,659.32,715.47,12.14,9.14,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 15:00:00,Mainland India,Mainland India,IN,657.18,713.19,12.41,9.32,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 16:00:00,Mainland India,Mainland India,IN,655.53,711.51,12.61,9.49,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 17:00:00,Mainland India,Mainland India,IN,654.28,710.19,12.76,9.6,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 18:00:00,Mainland India,Mainland India,IN,650.53,706.15,13.26,9.89,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 19:00:00,Mainland India,Mainland India,IN,650.54,706.16,13.27,9.81,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 20:00:00,Mainland India,Mainland India,IN,651.07,706.59,13.25,9.68,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 21:00:00,Mainland India,Mainland India,IN,651.44,706.87,13.25,9.59,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 22:00:00,Mainland India,Mainland India,IN,651.88,707.31,13.22,9.55,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-07 23:00:00,Mainland India,Mainland India,IN,652.97,708.47,13.08,9.52,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 00:00:00,Mainland India,Mainland India,IN,651.7,707.35,13.22,9.83,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 01:00:00,Mainland India,Mainland India,IN,650.01,705.67,13.41,10.05,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 02:00:00,Mainland India,Mainland India,IN,615.7,670.83,17.97,14.78,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 03:00:00,Mainland India,Mainland India,IN,567.02,621.38,24.48,21.64,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 04:00:00,Mainland India,Mainland India,IN,560.14,614.5,25.41,22.77,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 05:00:00,Mainland India,Mainland India,IN,556.79,611.12,25.86,23.27,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 06:00:00,Mainland India,Mainland India,IN,561.74,616.29,25.22,22.69,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 07:00:00,Mainland India,Mainland India,IN,559.73,614.23,25.49,22.92,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 08:00:00,Mainland India,Mainland India,IN,558.61,613.07,25.63,23.02,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 09:00:00,Mainland India,Mainland India,IN,562.52,617.04,25.11,22.5,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 10:00:00,Mainland India,Mainland India,IN,567.86,622.44,24.39,21.74,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 11:00:00,Mainland India,Mainland India,IN,581.93,636.71,22.5,19.73,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 12:00:00,Mainland India,Mainland India,IN,637.17,692.92,15.09,12.01,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 13:00:00,Mainland India,Mainland India,IN,659.44,715.45,12.16,9.03,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 14:00:00,Mainland India,Mainland India,IN,657.88,713.78,12.35,9.18,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 15:00:00,Mainland India,Mainland India,IN,656.08,711.85,12.59,9.34,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 16:00:00,Mainland India,Mainland India,IN,653.39,709.09,12.91,9.61,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 17:00:00,Mainland India,Mainland India,IN,651.68,707.28,13.12,9.77,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
2022-01-08 18:00:00,Mainland India,Mainland India,IN,644.64,699.85,14.02,10.3,meritindia.in,true,ESTIMATED_MODE_BREAKDOWN
